,Comment,KOREAN / ÇÑ±¹¾î,ENGLISH,JAPANESE / ìíÜâåŞ,SIMPLIFIED CHINESE / ??ñéÙş,TRADITIONAL CHINESE / Ûåô÷ñéÙş,GERMAN / DEUTSCH,SPANISH / ESPANOL,PORTUGUESE / PORTUGUES (BR),RUSSIAN / ¬²¬µ¬³¬³¬¬¬ª¬«,POLISH / POLSKI,FRENCH / FRANCAIS
language/code,,koKR,enUS enGB,jaJP,zhCN zhSG,zhTW zhHK zhMO,deDE deCH deAT,esES esAR esMX,ptBR,ruRU,enUS enGB,frFR frBE frCA frCH
language/system,https://docs.unity3d.com/ScriptReference/SystemLanguage.html,Korean,English,Japanese,ChineseSimplified,ChineseTraditional,German,Spanish,Portuguese,Russian,Polish,French
language/native,,ÇÑ±¹¾î,English,ìíÜâåŞ,??ñéÙş,Ûåô÷ñéÙş,Deutsch,Espanol,Portuguese,¬²¬å¬ã¬ã¬Ü¬Ú¬Û,Polski,Francais
language/number,Sequence number used in the internal game,0,1,2,3,4,5,6,7,8,9,10
extra strings,"Since only characters from the sheet are included in the game, if there are characters that are not on the sheet but used in the game, write them here, and characters in English are included in all languages.",¤¡¤¤¤§¤©¤±¤²¤µ¤·¤¸¤º¤»¤¼¤½¤¾¤¢¤¨¤³¤¶¤¹¤£¤¥¤¬¤­¤®¤´¤¦¤°¤ª¤«¤¯,:¡¦,,,,,,,,,
# UI generic,,,,,,,,,,,,
# Color Reference,,,,,,,,,,,,
cc,,</color>,,,,,,,,,,
copd,,<color=#F25D1C>,,,,,,,,,,
comd,,<color=#1787D8>,,,,,,,,,,
cogold,,<color=#FFDE37>,,,,,,,,,,
codark,,<color=#9159DB>,,,,,,,,,,
cobone,,<color=#959595>,,,,,,,,,,
quote,,',,,,,,,,,,
# example,,[copd]¹°¸®°ø°İ·Â[cc]¹× [comd]¸¶¹ı°ø°İ·Â[cc]ÀÌ 30% Áõ°¡ÇÕ´Ï´Ù.,,,,,,,,,,
label/loading,,ºÒ·¯¿À´Â Áß,Loading...,«í?«Éñé,?ö¢ñé,ÔÁö¢ñé,Ladt?¡¦,Cargando...,Carregando...,¬©¬Ñ¬Ô¬â¬å¬Ù¬Ü¬Ñ...,Wczytywanie¡¦,Chargement...
label/pressAnyKey,,¾Æ¹« Å°³ª ´©¸£¼¼¿ä,Press any key,ª¤ªºªìª«ªÎ«­?ªòäãª¹,äÎù»ìòëò?,ôëäÎìòëòËõ,Drucke eine beliebige Taste,Pulsa cualquier tecla,Pressione qualquer tecla,¬¯¬Ñ¬Ø¬Ş¬Ú¬ä¬Ö ¬İ¬ğ¬Ò¬å¬ğ ¬Ü¬İ¬Ñ¬Ó¬Ú¬ê¬å,Naci?nij dowolny klawisz,Appuie sur n'importe quelle touche
label/confirm/yes,,¿¹,Yes,ªÏª¤,ãÀ,ãÀ,Ja,Si,Sim,¬¥¬Ñ,Tak,Oui
label/confirm/no,,¾Æ´Ï¿À,No,ª¤ª¤ª¨,Üú,Üú,Nein,No,Nao,¬¯¬Ö¬ä,Nie,Non
label/item/name,,¾ÆÀÌÅÛ,Items,«¢«¤«Æ«à,Ô³Îı,Ô³Îı,Gegenstand,Objetos,Itens,¬±¬â¬Ö¬Õ¬Ş¬Ö¬ä¬í,Przedmioty,Objets
label/quintessence/name,,Á¤¼ö,Quintessence,ïñ?,ïñ?,ïñâĞ,Essenz,Quintaesencia,Quintessencia,¬¬¬Ó¬Ú¬ß¬ä¬ï¬ã¬ã¬Ö¬ß¬è¬Ú¬ñ,Kwintesencja,Quintessence
label/weapon/name,,½ºÄÃ,Skulls,«¹«««ë,á³Íé,ÍµÍé,Schadel,Calaveras,Caveiras,¬¹¬Ö¬â¬Ö¬á¬Ñ,Czaszki,Cranes
label/rarity/common,,ÀÏ¹İ,Common,«Î?«Ş«ë,ÜÅ÷×,ìéÚõ,Gewohnlich,Comun,Comum,¬°¬Ò¬í¬é¬ß¬í¬Û,Zwyk©©e,Commun
label/rarity/rare,,·¹¾î,Rare,«ì«¢,ıüêó,ıüêó,Selten,Infrecuente,Raro,¬²¬Ö¬Õ¬Ü¬Ú¬Û,Rzadkie,Rare
label/rarity/unique,,À¯´ÏÅ©,Unique,«æ«Ë?«¯,ŞÈ?,Ô¼÷å,Einzigartig,Unico,Unico,¬µ¬ß¬Ú¬Ü¬Ñ¬İ¬î¬ß¬í¬Û,Wyj?tkowe,Unique
label/rarity/legendary,,·¹Àü´õ¸®,Legendary,«ì«¸«§«ó«À«ê?,??,îîĞô,Legendar,Legendario,Lendario,¬­¬Ö¬Ô¬Ö¬ß¬Õ¬Ñ¬â¬ß¬í¬Û,Legendarne,Legendaire
label/weapon/category/balance,,¹ë·±½º,Balance,«Ğ«é«ó«¹,øÁû¬,øÁû¬,Balance,Equilibrio,Equilibrio,¬¢¬Ñ¬İ¬Ñ¬ß¬ã,Rownowaga,Equilibre
label/weapon/category/power,,ÆÄ¿ö,Power,«Ñ«ï?,ÕôÕá,ÕôÕá,Kraft,Poder,Energia,¬³¬Ú¬İ¬Ñ,Moc,Puissance
label/weapon/category/speed,,½ºÇÇµå,Speed,«¹«Ô?«É,áÜÓø,áÜÓø,Tempo,Velocidad,Velocidade,¬³¬Ü¬à¬â¬à¬ã¬ä¬î,Pr?dko??,Vitesse
label/balance/goldBalance,,º¸À¯ÇÑ °ñµå,Gold,á¶ò¥ñéªÎ«´?«ë«É,ò¥êóÑÑ?,ò¥êóÑÑøÇ,Goldstucke,Oro,Ouros,¬©¬à¬İ¬à¬ä¬à,Z©©oto,Pieces d'or
label/balance/darkQuartzBalance,,º¸À¯ÇÑ ¸¶¼®,Dark Quartz,á¶ò¥ñéªÎØªà´,ò¥êóØªà´,ò¥êóîÜØªà´,Dunkler Quarz,Cuarzo oscuro,Quartzo negro,¬´¬Ö¬Ş¬ß¬í¬Û ¬Ü¬Ó¬Ñ¬â¬è,Czarny kryszta©©,Quartz noir
label/balance/boneBalance,,º¸À¯ÇÑ »ÄÁ¶°¢,Bones,á¶ò¥ñéªÎÍé,ò¥êóáïÍé,ò¥êóáïÍé,Knochen,Huesos,Ossos,¬¬¬à¬ã¬ä¬Ú,Ko?ci,Ossements
